Артикул,Код,Цена,Остаток,Гарантия,,Скидка,Разница,Ссылка
5730B001-N,00-00009041,28.90,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/5730B001?from_search=true
1535B004-N,00-00022363,22.10,1.00,,,Есть,-0.10000000000000142,https://umico.az/ru/search/1535B004?from_search=true
4100A014-N,00-00022366,42.50,1.00,,,Есть,-2.5,https://umico.az/ru/search/4100A014?from_search=true
K64566EU-N,00-00011276,25.50,1.00,12 мес.,,Нет,=,https://umico.az/ru/search/K64566EU?from_search=true
K60412WW-N,00-00020856,156.40,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/K60412WW?from_search=true
M180-N,00-00016526,127.50,1.00,,,Есть,-15.5,https://umico.az/ru/search/M180?from_search=true
82RK00MERK-N,00-00025080,1448.40,1.00,12 месяцев,,Нет,-149.4000000000001,https://umico.az/ru/search/82RK00MERK?from_search=true
C11CJ41404-N,00-00020247,2125.00,1.00,"36 месяцев или 350000 отпечатков (в зависимости от того, что наступит первым)",,Есть,-25.0,https://umico.az/ru/search/C11CJ41404?from_search=true
GX40Q17226-N,00-00015085,39.00,1.00,,,Нет,=,https://umico.az/ru/search/GX40Q17226?from_search=true
4X41C12468-N,00-00021866,134.30,1.00,,,Есть,-0.30000000000001137,https://umico.az/ru/search/4X41C12468?from_search=true
LP36893-PWW-N,00-00022806,102.00,1.00,,,Есть,-13.0,https://umico.az/ru/search/LP36893-PWW?from_search=true
LP37346-PWW-N,00-00022814,91.80,1.00,,,Есть,-15.799999999999997,https://umico.az/ru/search/LP37346-PWW?from_search=true
JB01394-BWW-N,00-00018314,34.00,1.00,,,Нет,=,https://umico.az/ru/search/JB01394-BWW?from_search=true
6098B005-N,00-00019355,357.00,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/6098B005?from_search=true
0585C003-N,00-00022541,758.20,1.00,,,Есть,-20.200000000000045,https://umico.az/ru/search/0585C003?from_search=true
3249C003-N,00-00023475,433.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/3249C003?from_search=true
2863B001-N,00-00011409,334.90,1.00,,,Есть,-0.8999999999999773,https://umico.az/ru/search/2863B001?from_search=true
PON-327BK-N,00-00010516,86.70,1.00,,,Нет,=,https://umico.az/ru/search/PON-327BK?from_search=true
4X40X54260-N,00-00018750,195.50,1.00,,,Нет,=,https://umico.az/ru/search/4X40X54260?from_search=true
82S9013BRK-N,00-00025157,2398.70,1.00,2 года,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/82S9013BRK?from_search=true
2794B002-N,00-00008953,348.50,1.00,,,Нет,=,https://umico.az/ru/search/2794B002?from_search=true
66F6UAC3EU-N,00-00025007,999.01,1.00,3 года,,Нет,=,https://umico.az/ru/search/66F6UAC3EU?from_search=true
RAL6029-N,00-00023878,61.20,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/RAL6029?from_search=true
KBC0BK-Y-O-N,00-00024741,688.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/KBC0BK-Y-O?from_search=true
PAWW0017TN-N,00-00024525,399.99,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/PAWW0017TN?from_search=true
PAWW0018TN-N,00-00024526,399.99,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/PAWW0018TN?from_search=true
1760500155-N,00-00024160,121.40,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/1760500155?from_search=true
0135501085-N,00-00024109,62.83,1.00,6 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/0135501085?from_search=true
DDJ-XP1-N,00-00016320,423.30,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/DDJ-XP1?from_search=true
C13T67324A-N,00-00008282,28.90,1.00,12 месяцев,,Есть,-0.8999999999999986,https://umico.az/ru/search/C13T67324A?from_search=true
2888C001-N,00-00016757,161.50,1.00,,,Есть,-1.5,https://umico.az/ru/search/2888C001?from_search=true
2360C001-N,00-00017590,311.10,1.00,,,Нет,=,https://umico.az/ru/search/2360C001?from_search=true
C13T06C14A-N,00-00018590,47.60,1.00,,,Нет,=,https://umico.az/ru/search/C13T06C14A?from_search=true
8285B001-N,00-00021824,37.40,1.00,Гарантия на отсутствие дефектов на момент продажи,,Есть,-1.3999999999999986,https://umico.az/ru/search/8285B001?from_search=true
5700C001-N,00-00025742,175.10,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/5700C001?from_search=true
5699C001-N,00-00025743,175.10,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/5699C001?from_search=true
C13T00R240-N,00-00014401,34.00,1.00,,,Нет,=,https://umico.az/ru/search/C13T00R240?from_search=true
C13T754340-N,00-00008929,365.50,1.00,12 месяцев,,Есть,-0.30000000000001137,https://umico.az/ru/search/C13T754340?from_search=true
C13T26124010-N,00-00008229,27.20,1.00,12 месяцев,,Есть,-0.1999999999999993,https://umico.az/ru/search/C13T26124010?from_search=true
1570B003-N,00-00009164,59.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/1570B003?from_search=true
1T02T90NL0-N,00-00016444,221.00,1.00,,,Нет,=,https://umico.az/ru/search/1T02T90NL0?from_search=true
JBLPULSE4WHT-N,00-00017653,399.50,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/JBLPULSE4WHT?from_search=true
JBLFLIP6BLU-N,00-00022825,289.00,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/JBLFLIP6BLU?from_search=true
VBA510K002-N,00-00019922,3075.30,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/VBA510K002?from_search=true
KVR32S22S8/8-N,00-00020470,49.30,1.00,,,Нет,=,https://umico.az/ru/search/KVR32S22S8%2F8?from_search=true
3785B002-N,00-00008950,246.50,1.00,,,Есть,-6.5,https://umico.az/ru/search/3785B002?from_search=true
S-ES21-N,00-00017135,532.10,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/S-ES21?from_search=true
JBLXTREME3CAMOEU-N,00-00020115,649.40,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/JBLXTREME3CAMOEU?from_search=true
JBLCHARGE5SQUAD-N,00-00021587,348.50,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/JBLCHARGE5SQUAD?from_search=true
JBLFLIP6RED-N,00-00023632,289.00,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/JBLFLIP6RED?from_search=true
31730979100-N,00-00012838,294.10,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/31730979100?from_search=true
1483C027-N,00-00017986,6216.90,1.00,12 мес.,,Нет,=,https://umico.az/ru/search/1483C027?from_search=true
C-HUBC1-SR-EN-N,00-00021746,110.50,1.00,,,Нет,=,https://umico.az/ru/search/C-HUBC1-SR-EN?from_search=true
Fideliio Crimson (Red)-N,00-00009914,83.30,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/FideliioCrimson(Red)?from_search=true
GX40Q17231-N,00-00015092,27.20,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/GX40Q17231?from_search=true
GX40X02934-N,00-00025212,59.01,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/GX40X02934?from_search=true
GX40X54262-N,00-00021234,66.30,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/GX40X54262?from_search=true
HDJ-X10-K-N,00-00017543,649.40,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/HDJ-X10-K?from_search=true
HHSS1C-BA-BK/G-N,00-00020160,185.30,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/HHSS1C-BA-BK%2FG?from_search=true
IT.3400IQ.180G-N,00-00008847,202.30,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/IT.3400IQ.180G?from_search=true
JBLCHARGE5WHT-N,00-00021589,348.50,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/JBLCHARGE5WHT?from_search=true
JBLFREEIITWSWHT-N,00-00020133,200.60,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/JBLFREEIITWSWHT?from_search=true
JBLT130NCTWSWHT-N,00-00025285,168.30,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/JBLT130NCTWSWHT?from_search=true
JBLT500BLU-N,00-00021608,54.40,1.00,6 месяцев,,Нет,=,https://umico.az/ru/search/JBLT500BLU?from_search=true
KF432C16BBA/8-N,00-00022257,73.10,1.00,,,Нет,=,https://umico.az/ru/search/KF432C16BBA%2F8?from_search=true
KVR32S22D8/16-N,00-00020471,95.20,1.00,,,Нет,=,https://umico.az/ru/search/KVR32S22D8%2F16?from_search=true
LP37234-PWW-N,00-00022810,83.30,1.00,,,Нет,=,https://umico.az/ru/search/LP37234-PWW?from_search=true
MK055XPRO3-3W-N,00-00016092,549.10,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/MK055XPRO3-3W?from_search=true
PB616-S-CIS-N,00-00014393,248.20,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/PB616-S-CIS?from_search=true
PB628-P-CIS-N,00-00024862,397.80,1.00,,,Есть,-48.80000000000001,https://umico.az/ru/search/PB628-P-CIS?from_search=true
PCM0.6-N,00-00016539,39.10,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/PCM0.6?from_search=true
RAL7015-N,00-00023880,61.20,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/RAL7015?from_search=true
RAL8007-N,00-00023881,61.20,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/RAL8007?from_search=true
RAL9003 1000g-N,00-00023863,61.20,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/RAL90031000g?from_search=true
SA400S37/960G-N,00-00013086,127.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/SA400S37%2F960G?from_search=true
SDHLWH-102A-N,00-00023245,171.70,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/SDHLWH-102A?from_search=true
SDHLWH-103A-N,00-00025359,171.70,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/SDHLWH-103A?from_search=true
SP128GBUF3B06V1W-N,00-00019075,35.70,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/SP128GBUF3B06V1W?from_search=true
SPTLB-103C-N,00-00025364,117.30,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/SPTLB-103C?from_search=true
T110BLK-N,00-00015941,18.70,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/T110BLK?from_search=true
T180-N,00-00016522,151.30,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/T180?from_search=true
TBL-380VT-N,00-00010544,13.60,1.00,,,Нет,=,https://umico.az/ru/search/TBL-380VT?from_search=true
TCC-700WT-N,00-00015224,17.00,1.00,,,Нет,=,https://umico.az/ru/search/TCC-700WT?from_search=true
V11H977040-N,00-00019224,1666.00,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/V11H977040?from_search=true
V11HA27040-N,00-00022803,7068.60,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/V11HA27040?from_search=true
V11HA84040-N,00-00024967,1258.00,1.00,,,Нет,=,https://umico.az/ru/search/V11HA84040?from_search=true
VBA550K004-N,00-00022459,1683.00,1.00,12 месяцев,,Есть,-0.009999999999990905,https://umico.az/ru/search/VBA550K004?from_search=true
ZA7S0038RU-N,00-00021790,790.50,1.00,12 месяцев,,Есть,-1.5,https://umico.az/ru/search/ZA7S0038RU?from_search=true
ZA9L0060RU-N,00-00024487,919.00,1.00,12 месяцев,,Есть,-2.0,https://umico.az/ru/search/ZA9L0060RU?from_search=true
SFYRS/1000G-N,00-00023010,289.00,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/SFYRS%2F1000G?from_search=true
TBL-470RS-N,00-00010548,17.00,1.00,,,Нет,=,https://umico.az/ru/search/TBL-470RS?from_search=true
GX40Z24050-N,00-00025226,98.60,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/GX40Z24050?from_search=true
LP36862-0WW-N,00-00018334,66.30,1.00,,,Есть,-1.2999999999999972,https://umico.az/ru/search/LP36862-0WW?from_search=true
2916C001-N,00-00020652,850.00,1.00,,,Есть,-0.5,https://umico.az/ru/search/2916C001?from_search=true
82S9004ERK-N,00-00025072,2798.20,1.00,2 года,,Нет,-49.19999999999982,https://umico.az/ru/search/82S9004ERK?from_search=true
66F0GACBEU-N,00-00024995,669.00,1.00,3 года,,Нет,=,https://umico.az/ru/search/66F0GACBEU?from_search=true
90RC00HERS-N,00-00023467,2298.40,1.00,12 месяцев,,Есть,-0.40000000000009095,https://umico.az/ru/search/90RC00HERS?from_search=true
90RC00UVRS-N,00-00025306,2648.60,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/90RC00UVRS?from_search=true
46C3447-N,00-00011517,153.00,1.00,,,Нет,=,https://umico.az/ru/search/46C3447?from_search=true
F0GH00PHRU-N,00-00025151,1949.00,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/F0GH00PHRU?from_search=true
ZA8X0030RU-N,00-00021497,1259.00,1.00,,,Есть,-61.0,https://umico.az/ru/search/ZA8X0030RU?from_search=true
4082C046V-N,00-00023964,6519.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/4082C046V?from_search=true
HPLGY-103-N,00-00023236,49.30,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/HPLGY-103?from_search=true
PETG Filament BLACK-N,00-00023883,66.30,1.00,,,Есть,-3.299999999999997,https://umico.az/ru/search/PETGFilamentBLACK?from_search=true
PAUV0012TN-N,00-00024174,480.00,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/PAUV0012TN?from_search=true
0135501080-N,00-00024113,44.35,1.00,6 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/0135501080?from_search=true
5252B004-N,00-00008469,535.50,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/5252B004?from_search=true
3647C003-N,00-00015864,3568.30,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/3647C003?from_search=true
2887C001-N,00-00016756,161.50,1.00,,,Есть,-1.5,https://umico.az/ru/search/2887C001?from_search=true
C13T17064A10-N,00-00008176,83.30,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/C13T17064A10?from_search=true
C13T06C44A-N,00-00018593,39.10,1.00,,,Есть,-1.1000000000000014,https://umico.az/ru/search/C13T06C44A?from_search=true
4528C001-N,00-00020023,27.20,1.00,,,Нет,=,https://umico.az/ru/search/4528C001?from_search=true
9064B001-N,00-00020200,28.90,1.00,,,Есть,-0.8999999999999986,https://umico.az/ru/search/9064B001?from_search=true
3009C0022-N,00-00021871,238.00,1.00,,,Нет,=,https://umico.az/ru/search/3009C0022?from_search=true
3484B002A-N,00-00025746,141.10,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/3484B002A?from_search=true
C13T804500-N,00-00008249,646.00,1.00,12 месяцев,,Есть,-0.10000000000002274,https://umico.az/ru/search/C13T804500?from_search=true
C53S656006-N,00-00011324,34.00,1.00,,,Нет,=,https://umico.az/ru/search/C53S656006?from_search=true
1978B002-N,00-00010005,170.00,1.00,,,Есть,-0.009999999999990905,https://umico.az/ru/search/1978B002?from_search=true
9435B002-N,00-00008340,178.50,1.00,,,Есть,-2.5,https://umico.az/ru/search/9435B002?from_search=true
0483C001-N,00-00017608,807.50,1.00,,,Есть,-25.5,https://umico.az/ru/search/0483C001?from_search=true
3018C006-N,00-00020483,229.50,1.00,,,Есть,-0.009999999999990905,https://umico.az/ru/search/3018C006?from_search=true
5096C006-N,00-00023769,221.00,1.00,,,Нет,=,https://umico.az/ru/search/5096C006?from_search=true
1T02RY0NL0-N,00-00014597,204.00,1.00,,,Нет,=,https://umico.az/ru/search/1T02RY0NL0?from_search=true
9451B001-N,00-00009806,440.30,1.00,,,Нет,=,https://umico.az/ru/search/9451B001?from_search=true
JBLPARTYBOX710EU-N,00-00022181,1897.20,1.00,12 месяцев,,Нет,-198.20000000000005,https://umico.az/ru/search/JBLPARTYBOX710EU?from_search=true
2728C015-N,00-00020038,1069.30,1.00,12 мес.,,Нет,=,https://umico.az/ru/search/2728C015?from_search=true
KF432C16BB/32-N,00-00022255,212.50,1.00,,,Есть,-14.5,https://umico.az/ru/search/KF432C16BB%2F32?from_search=true
960-001076-N,00-00018134,306.00,1.00,,,Нет,=,https://umico.az/ru/search/960-001076?from_search=true
NS4FX-N,00-00022643,935.00,1.00,,,Нет,=,https://umico.az/ru/search/NS4FX?from_search=true
3013C002-N,00-00016905,181.90,1.00,Гарантия на отсутствие дефектов на момент продажи,,Нет,=,https://umico.az/ru/search/3013C002?from_search=true
2363C001-N,00-00016918,204.00,1.00,,,Нет,=,https://umico.az/ru/search/2363C001?from_search=true
2885C001-N,00-00016753,161.50,1.00,,,Есть,-1.5,https://umico.az/ru/search/2885C001?from_search=true
0666C001-N,00-00007781,22.10,1.00,12 месяцев,,Есть,-3.110000000000003,https://umico.az/ru/search/0666C001?from_search=true
9059B001-N,00-00020719,23.80,1.00,,,Нет,=,https://umico.az/ru/search/9059B001?from_search=true
C13T03V14A-N,00-00011800,22.10,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/C13T03V14A?from_search=true
6708B001-N,00-00010789,153.00,1.00,12 месяцев,,Есть,-1.0,https://umico.az/ru/search/6708B001?from_search=true
3019C006-N,00-00020485,229.50,1.00,,,Есть,-0.009999999999990905,https://umico.az/ru/search/3019C006?from_search=true
3626C001-N,00-00020656,1028.50,1.00,,,Есть,-0.5,https://umico.az/ru/search/3626C001?from_search=true
1T02NG0NL0-N,00-00014581,119.00,1.00,,,Нет,=,https://umico.az/ru/search/1T02NG0NL0?from_search=true
HORIZON2HOTELBLKEU-N,00-00020610,289.00,1.00,12 месяцев,,Есть,-0.009999999999990905,https://umico.az/ru/search/HORIZON2HOTELBLKEU?from_search=true
JBLCHARGE5TEAL-N,00-00021588,348.50,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/JBLCHARGE5TEAL?from_search=true
5946C015-N,00-00025747,1147.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/5946C015?from_search=true
4P5H6AA-N,00-00022932,299.01,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/4P5H6AA?from_search=true
920-010110-N,00-00024443,391.00,1.00,12 месяцев,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/920-010110?from_search=true
C13T869340-N,00-00017713,1343.00,1.00,Гарантия на отсутствие дефектов на момент продажи,,Есть,-1.0,https://umico.az/ru/search/C13T869340?from_search=true
C13T41F540-N,00-00019232,372.30,1.00,,,Нет,=,https://umico.az/ru/search/C13T41F540?from_search=true
C13T49H100-N,00-00020706,76.50,1.00,,,Есть,-6.5,https://umico.az/ru/search/C13T49H100?from_search=true
C13T07D44A-N,00-00021038,40.80,1.00,Гарантия на отсутствие дефектов на момент продажи,,Есть,-1.7999999999999972,https://umico.az/ru/search/C13T07D44A?from_search=true
4716C001-N,00-00021642,32.30,1.00,,,Есть,-0.00999999999999801,https://umico.az/ru/search/4716C001?from_search=true
2099C001-N,00-00021831,25.50,1.00,,,Есть,-1.5,https://umico.az/ru/search/2099C001?from_search=true
2098C001-N,00-00021985,25.50,1.00,,,Есть,-1.5,https://umico.az/ru/search/2098C001?from_search=true
C13S210125-N,00-00023835,83.30,1.00,,,Нет,=,https://umico.az/ru/search/C13S210125?from_search=true
C13T49N300-N,00-00023840,66.30,1.00,,,Есть,-0.29999999999999716,https://umico.az/ru/search/C13T49N300?from_search=true
C53S655008-N,00-00024976,27.20,1.00,Гарантия на отсутствие дефектов на момент продажи,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/C53S655008?from_search=true
0452C002-N,00-00014419,433.50,1.00,12 месяцев,,Есть,-0.5,https://umico.az/ru/search/0452C002?from_search=true
C53S655010-N,00-00011806,27.20,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/C53S655010?from_search=true
2659B002CS-N,00-00013302,297.50,1.00,,,Нет,=,https://umico.az/ru/search/2659B002CS?from_search=true
2962B001-N,00-00008957,578.00,1.00,12 месяцев,,Есть,-20.0,https://umico.az/ru/search/2962B001?from_search=true
C13T26144010-N,00-00008231,27.20,1.00,12 месяцев,,Есть,-0.1999999999999993,https://umico.az/ru/search/C13T26144010?from_search=true
C13T603900-N,00-00008239,168.30,1.00,12 месяцев,,Нет,=,https://umico.az/ru/search/C13T603900?from_search=true
C13T804200-N,00-00008246,646.00,1.00,12 месяцев,,Есть,-0.10000000000002274,https://umico.az/ru/search/C13T804200?from_search=true
6705B001-N,00-00010788,153.00,1.00,12 месяцев,,Есть,-1.0,https://umico.az/ru/search/6705B001?from_search=true
1702VP0RU0-N,00-00017953,328.10,1.00,,,Нет,=,https://umico.az/ru/search/1702VP0RU0?from_search=true
5097C006-N,00-00023768,221.00,1.00,,,Нет,=,https://umico.az/ru/search/5097C006?from_search=true
1395C002-N,00-00010581,175.10,1.00,,,Есть,-3.0999999999999943,https://umico.az/ru/search/1395C002?from_search=true
JBLFLIP6WHT-N,00-00023633,289.00,1.00,12 месяцев,,Есть,-1.0,https://umico.az/ru/search/JBLFLIP6WHT?from_search=true
JBLPBENCORE1MICUK-N,00-00024585,935.00,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/JBLPBENCORE1MICUK?from_search=true
4P5P8AA-N,00-00022290,169.01,1.00,,,Есть,-10.009999999999991,https://umico.az/ru/search/4P5P8AA?from_search=true
3616C029-N,00-00018561,3493.50,1.00,12 мес.,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/3616C029?from_search=true
HX-CPBS-C-N,00-00017011,79.00,1.00,,,Нет,=,https://umico.az/ru/search/HX-CPBS-C?from_search=true
4X20M26272-N,00-00012492,93.50,1.00,,,Данного продукта нет на сайте,Данного продукта нет на сайте,https://umico.az/ru/search/4X20M26272?from_search=true
4P4F1AA-N,00-00022279,149.01,1.00,12 месяцев,,Есть,-4.009999999999991,https://umico.az/ru/search/4P4F1AA?from_search=true
